	TGrepID	Sentence	Every	A	The	Other	Wh	ModalPresent
529	8992:10	uh, what else did i get *t*-1 in there,	0.6842105263157895	0.1405263157894737	0.08421052631578947	0.09105263157894737	what	0
861	34507:10	oh gosh what was the last comedy 0 we saw *t*-1 *t*-2?	0.022857142857142857	0.1271428571428571	0.8423809523809525	0.007619047619047619	what	0
802	38013:4	what processor does it have *t*-1 in it?	0.10666666666666667	0.08619047619047618	0.7390476190476191	0.0680952380952381	what	0
673	28750:4	why don't you go first *t*-1.	0.11055555555555555	0.09666666666666666	0.09222222222222223	0.7005555555555555	why	0
710	119975:9	well, how's it going *t*-1?	0.01952380952380953	0.21095238095238095	0.4271428571428571	0.34238095238095234	how	0
485	175133:4	what do you think 0 *t*-1's wrong * to cause that?	0.2872222222222222	0.1461111111111111	0.49833333333333335	0.06833333333333333	what	0
981	116314:8	so, where, have you skied *t*-1?	0.717	0.19699999999999998	0.08600000000000001	0.0	where	0
682	130644:22	oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.	0.45055555555555554	0.14	0.15166666666666667	0.25777777777777783	where	0
557	120876:4	what did you grow *t*-1?	0.4242105263157895	0.14894736842105263	0.35947368421052633	0.06736842105263156	what	0
681	155409:12	so uh, what do yo-,	0.1622222222222222	0.07833333333333334	0.22944444444444445	0.5299999999999999	what	0
984	157191:6	and why, does it just turn out *-1 to be genetic or biochemical in origin *t*-2.	0.22799999999999998	0.14350000000000002	0.4265	0.2015	why	0
878	155386:4	what do i do *t*-1,	0.319047619047619	0.2233333333333333	0.3623809523809524	0.09523809523809523	what	0
946	14266:4	who do you think *t*-1?	0.10368421052631578	0.04578947368421053	0.5110526315789473	0.33947368421052626	who	0
286	67832:9	uh, why should we let them set in prison and work on their college degrees after they've mowed down a class yard full of kids or t-, or tried *-1 to *?*, or done their very, you know, given their best effort at *-1 doing that *t*-2.	0.17619047619047618	0.24047619047619045	0.33952380952380956	0.24380952380952386	why	1
252	156080:9	so, how you like new jersey *t*-1?	0.20421052631578945	0.1794736842105263	0.16473684210526318	0.45105263157894737	how	0
612	157929:4	what did you major in *t*-1?	0.059473684210526324	0.005263157894736847	0.8710526315789474	0.06421052631578947	what	0
605	113414:14	so i guess why should the government *?* *t*-1.	0.08894736842105262	0.26421052631578945	0.3263157894736842	0.32052631578947366	why	1
708	36029:5	what should they get *t*-2 in return, i wonder *t*-1.	0.30952380952380953	0.3719047619047619	0.29000000000000004	0.028571428571428574	what	1
16	38865:5	what else have i done *t*-1?	0.4233333333333334	0.2038888888888889	0.10388888888888889	0.26888888888888896	what	0
647	109254:9	well, where do you do that *t*-1,	0.07631578947368421	0.17052631578947366	0.7384210526315789	0.014210526315789474	where	0
531	101503:16	what, what does it have *t*-1 in it?	0.86	0.02947368421052632	0.09421052631578947	0.01631578947368421	what	0
201	29261:4	where do you get most of your news *t*-1?	0.18	0.16545454545454547	0.6063636363636363	0.04818181818181817	where	0
801	1721:4	how do you feel *t*-1 about rap music?	0.12285714285714286	0.15476190476190477	0.5333333333333334	0.18904761904761905	how	0
267	156287:12	jimmy, so how do you get most of your news *t*-1?	0.20842105263157895	0.16	0.45105263157894737	0.1805263157894737	how	0
170	43050:4	what have you done *t*-1?.	0.5442857142857143	0.16476190476190475	0.20142857142857146	0.08952380952380952	what	0
149	157119:9	well, where are we going *-2 to impose d-, you know,	0.15227272727272728	0.17045454545454544	0.26818181818181813	0.4090909090909091	where	0
813	173801:4	what is it *t*-1 that you are, you know, particularly upset about *t*-2?	0.07952380952380952	0.22999999999999995	0.6785714285714286	0.011904761904761915	what	0
749	116745:8	so what *ich*-2 have you seen *t*-1 interesting on oprah winfrey lately?	0.1905	0.49000000000000005	0.21950000000000003	0.1	what	0
328	72066:35	what, how do you, what do you think *t*-1?	0.24499999999999997	0.27999999999999997	0.20950000000000002	0.2655	what	0
296	20121:21	well, how, how do you feel *t*-1 about the immigration laws?	0.1738095238095238	0.1595238095238095	0.5033333333333333	0.16333333333333333	how	0
391	158994:4	what are you studying *t*-1 down there?	0.1380952380952381	0.16333333333333333	0.6561904761904762	0.0419047619047619	what	0
50	168089:7	now where does the source light go *t*-1?	0.15368421052631578	0.0636842105263158	0.7300000000000001	0.052631578947368446	where	0
655	4140:4	how did i hear about it *t*-1?	0.044210526315789464	0.047368421052631574	0.7947368421052632	0.11368421052631579	how	0
288	92536:4	who *t*-1 has time?	0.2080952380952381	0.22476190476190475	0.052380952380952396	0.5147619047619048	who	0
791	167133:4	why should an individual just because it's, just because the state can't really find out about it, be able *-1 to avoid *-2 paying sales tax *t*-3?	0.06523809523809525	0.3028571428571429	0.5185714285714286	0.11333333333333333	why	1
653	125687:6	and why don't you like the mustang *t*-1?	0.24105263157894738	0.24368421052631584	0.41000000000000003	0.10526315789473684	why	0
358	42944:4	what are they doing *t*-2, you know,	0.28	0.068	0.47700000000000004	0.175	what	0
217	49447:4	what did you have *t*-1 before you bought that.	0.028421052631578948	0.15842105263157893	0.8131578947368421	0.0	what	0
431	166855:4	how do you know that *t*-1?	0.048	0.12350000000000001	0.621	0.20750000000000002	how	0
400	5313:9	well, why was c n n the only,	0.10285714285714287	0.21619047619047616	0.6452380952380953	0.035238095238095235	why	0
678	100746:6	and what are, you know,	0.2816666666666667	0.045000000000000005	0.07888888888888888	0.5944444444444444	what	0
932	21324:26	so what do you, what do you consider *t*-1 your favorite shows?	0.5384210526315789	0.16473684210526315	0.10210526315789474	0.19473684210526315	what	0
166	44357:6	or why do they not, you know, stand up, * so to speak, for their rights *t*-1?	0.3466666666666666	0.2628571428571429	0.2909523809523809	0.09952380952380951	why	0
275	52104:4	what *t*-1 was your favorite all time movie?	0.007142857142857143	0.056190476190476187	0.858095238095238	0.0780952380952381	what	0
923	84674:4	how can you even think like that *t*-1?	0.007368421052631586	0.19368421052631576	0.11421052631578947	0.6847368421052632	how	1
14	143033:4	where have you been *t*-1?	0.5955555555555555	0.18444444444444444	0.15944444444444444	0.0605555555555556	where	0
938	141868:45	what, what's, i mean, what are we supposed *-2 to, uh, compare it to *t*-3 you know, i mean, the quality, uh,	0.26789473684210524	0.3021052631578948	0.308421052631579	0.12105263157894736	what	0
656	77458:6	or what would they do *t*-1?	0.3173684210526316	0.2636842105263158	0.20789473684210527	0.21000000000000002	what	1
950	82856:12	well, then how can a democracy work then *t*-1?	0.1457894736842105	0.31894736842105265	0.43	0.10526315789473684	how	1
348	22449:4	what'd you do *t*-1 with them?	0.251	0.12449999999999999	0.533	0.0915	what	1
528	30170:12	well, from where are you calling *t*-1?	0.0	0.05263157894736842	0.8657894736842104	0.08157894736842106	where	0
365	14478:20	so other than the vikings, who do you like *t*-1?	0.2573684210526316	0.3005263157894737	0.17631578947368423	0.2657894736842105	who	0
530	122048:9	but. what else would *t*-1 be an annoyance?	0.4768421052631579	0.35947368421052633	0.14	0.023157894736842106	what	1
698	60165:4	what did they do *t*-1,	0.1361904761904762	0.18523809523809523	0.5352380952380953	0.14333333333333334	what	0
834	8597:4	what *t*-1 makes you, think so?	0.155	0.10136363636363638	0.6627272727272726	0.08090909090909092	what	0
227	33184:46	that that got pretty competitive you know as far as who *t*-1 could come up with the best recipe	0.15842105263157893	0.1836842105263158	0.6052631578947368	0.05263157894736842	who	1
90	167503:16	what, what, are you putting *t*-1 in	0.039473684210526314	0.11789473684210527	0.7794736842105263	0.06315789473684212	what	0
329	59442:6	so why * have any restrictions at all *t*-1?	0.33749999999999997	0.24450000000000002	0.418	5.5511151231258e-18	why	0
182	114350:9	uh, what do you think *t*-1?	0.16590909090909092	0.2945454545454545	0.21	0.32954545454545453	what	0
590	142635:4	what color did you paint *t*-1,	0.08476190476190477	0.06285714285714286	0.6942857142857143	0.1580952380952381	what	0
281	41766:114	and, uh, and i find 0 even, even at home here now, i, i will wear blue jeans or i'll wear shorts and what have you *t*-1, uh, and be very comfortable	0.09523809523809523	0.10571428571428572	0.11428571428571428	0.6847619047619047	what	0
884	166106:9	uh, what do you think 0 *t*-2 was different *ich*-1 ten years ago from now?	0.43380952380952376	0.29238095238095235	0.19	0.0838095238095238	what	0
146	2153:4	what are you all trying *-1 to do *t*-2 long term.	0.3868181818181819	0.07772727272727271	0.49	0.045454545454545456	what	0
759	144081:90	because i, you know, if somebody has been convicted *-1 and has been sentenced *-1 *-1 to be put *-2 to death, how is it that they can appeal and appeal and appeal and get stays of ex-, execution *t*-3?	0.19947368421052633	0.11421052631578947	0.3426315789473684	0.34368421052631576	how	1
580	156332:16	what, what, uh, newspapers do you read *t*-1?	0.771904761904762	0.10333333333333333	0.12190476190476193	0.002857142857142857	what	0
648	110096:6	and how do you pronounce that *t*-1?	0.0631578947368421	0.00421052631578948	0.8773684210526317	0.054736842105263146	how	0
76	169955:188	but if you had, if you had, uh, parents say or, or, or th-, grandparents, whatever it is *t*-1, uh, who *t*-2 were ready, who, who you thought 0 *t*-3 might benefit from a nursing home, what do you think 0 you would look for *t*-4?	0.38047619047619047	0.24	0.2752380952380952	0.10428571428571429	what	1
690	21993:28	what degree, i mean, what are you wanting *-1 to do *t*-2 after you get out of college?	0.23777777777777778	0.1416666666666667	0.6205555555555555	1.850371707708594e-17	what	0
237	65842:4	what would you do *t*-1?	0.0731578947368421	0.22263157894736843	0.5989473684210526	0.10526315789473684	what	1
525	149167:18	um, so, um, what were you doing *t*-2 when you were using an apple two e *t*-1?	0.11526315789473685	0.17263157894736844	0.5989473684210527	0.1131578947368421	what	0
868	52018:24	what *t*-1's, what *t*-2's your most recent one that you've seen *t*-3?	0.030476190476190476	0.2533333333333333	0.7042857142857143	0.011904761904761915	what	0
389	132156:4	what do you think *t*-1 about, uh, the self insurance business?	0.19368421052631576	0.31999999999999995	0.27	0.21631578947368424	what	0
929	173340:4	what's the new criteria *t*-1, huh.	0.3521052631578947	0.07894736842105263	0.36526315789473685	0.20368421052631577	what	0
800	145807:14	well, uh, what benefits do,	0.41	0.0561904761904762	0.17666666666666667	0.35714285714285715	what	0
152	154133:29	uh, after all, who, who *t*-1 writes.	0.14761904761904765	0.22333333333333336	0.14476190476190473	0.4842857142857144	who	0
964	82137:4	how'd you get into it *t*-1?	0.048947368421052635	0.07052631578947369	0.8521052631578948	0.028421052631578948	how	0
301	17923:4	how do you feel that it should be applied *-2 *t*-1?	0.15250000000000002	0.29500000000000004	0.484	0.06799999999999999	how	1
460	66452:4	what *t*-1 was the results there.	0.13105263157894737	0.035263157894736843	0.78	0.05368421052631578	what	0
31	115384:4	what was the other thing *t*-1?	0.04421052631578948	0.0736842105263158	0.7994736842105263	0.08263157894736842	what	0
11	102217:4	what's your favorite restaurant *t*-1?	0.07166666666666667	0.07277777777777779	0.6755555555555556	0.18000000000000002	what	0
917	5673:22	so, so where do you go *t*-1?	0.07421052631578948	0.361578947368421	0.5642105263157895	0.0	where	0
285	77235:4	what *t*-1 are some of the things that you did *t*-2 with your children when they were growing up *t*-3?	0.41333333333333333	0.4480952380952381	0.0819047619047619	0.056666666666666664	what	0
953	89865:4	who *t*-1 wrote that?	0.09157894736842105	0.12315789473684209	0.7768421052631579	0.008421052631578947	who	0
900	96124:25	uh, what does, what does that mean *t*-1, alternate?	0.19047619047619047	0.13999999999999999	0.5657142857142857	0.1038095238095238	what	0
344	104508:4	where do you take your cans *t*-1?	0.008	0.173	0.8164999999999999	0.002500000000000005	where	0
187	159296:9	well, how do you feel *t*-2 about * setting, like, well, for example, a car type accident where, uh, or some incident where someone loses a limb *t*-1.	0.10590909090909091	0.2640909090909091	0.3436363636363637	0.2863636363636364	how	0
312	20333:4	where do you, do you come from *t*-1 originally	0.023000000000000003	0.027000000000000003	0.933	0.017	where	0
767	155266:9	well, how to you handle that, the long range or medium range planning on finances *t*-1?	0.24157894736842103	0.41157894736842104	0.34263157894736845	0.004210526315789479	how	0
123	137110:4	where'd you,	0.03818181818181818	0.08545454545454545	0.6150000000000001	0.26136363636363635	where	1
782	58200:24	well, uh, what what do you think *t*-1 about the metric system?	0.23105263157894734	0.13473684210526318	0.3242105263157895	0.31000000000000005	what	0
407	29719:4	how did you know *-1 to choose this subject, tonight *t*-2.	0.10952380952380951	0.08333333333333333	0.6780952380952381	0.12904761904761905	how	0
604	174125:6	so why * make fun of mine *t*-1?	0.14526315789473684	0.13947368421052633	0.44684210526315793	0.26842105263157895	why	0
583	76373:38	can you, how can you, how can you expect *-1 to,	0.1380952380952381	0.2661904761904762	0.18952380952380954	0.40619047619047627	how	1
798	60430:4	who *t*-1 knows.	0.05285714285714286	0.10809523809523809	0.05857142857142858	0.7804761904761905	who	0
532	5953:28	why didn't you buy, why didn't you try something more mainline *t*-1.	0.12842105263157894	0.1889473684210526	0.6663157894736841	0.01631578947368421	why	0
126	161551:4	what's the standard *t*-1?	0.10227272727272728	0.033181818181818194	0.6286363636363637	0.23590909090909087	what	0
260	67001:9	uh, what do you ride *t*-1, uh,	0.03052631578947369	0.19842105263157891	0.7678947368421053	0.002631578947368426	what	0
538	163430:9	well, who *t*-1 wants *-2 to clean their junk before they throw it away.	0.13736842105263158	0.47368421052631576	0.07947368421052632	0.3094736842105263	who	0
513	78711:14	i mean, what would it take *t*-1,	0.21842105263157893	0.4473684210526316	0.14578947368421052	0.18842105263157896	what	1
214	176164:16	why, why we need *-1 to replace it?	0.1968421052631579	0.15578947368421053	0.6473684210526316	0.0	why	0
98	135929:4	where are you from *t*-1 originally?	0.012105263157894725	0.02789473684210527	0.9305263157894736	0.028947368421052645	where	0
322	67508:7	like who *t*-1 knows, you know.	0.077	0.091	0.0655	0.7665	who	0
666	23663:4	what are some of your favorite foods *t*-1?	0.47611111111111115	0.29611111111111116	0.07388888888888892	0.15388888888888888	what	0
20	80840:4	how do you feel about it *t*-1?	0.07833333333333334	0.13777777777777778	0.5855555555555556	0.19777777777777777	how	0
792	86088:50	at wha-, at, * excuse me, at what age did you,	0.06714285714285714	0.08904761904761907	0.4095238095238094	0.4342857142857143	what	0
968	174870:4	where do you work *t*-1?	0.0014999999999999888	0.006000000000000005	0.9905000000000002	0.0020000000000000005	where	0
979	142646:4	what color did you paint your house *-2 *t*-1?	0.037	0.010500000000000006	0.842	0.1105	what	0
43	44743:160	well, the, see the problem is 0 if, if the, if someone would have came up to me and said it's going *-1 to cost you five hundred dollars *-2 to keep your dog alive. what do you want *-1 to do *t*-2? i probably would have had second thoughts.	0.06947368421052633	0.14578947368421052	0.3331578947368421	0.45157894736842097	what	0
4	44160:45	or, you know, why, why, why * intervene in another country's, you know, problems *t*-1 and things like that.	0.09777777777777778	0.30000000000000004	0.2872222222222222	0.315	why	0
264	76352:4	what could they possibly be thinking *t*-1.	0.3121052631578947	0.1163157894736842	0.24421052631578946	0.32736842105263153	what	1
261	112615:4	what do you do *t*-1?	0.10210526315789474	0.07210526315789474	0.36947368421052634	0.45631578947368423	what	0
539	123691:9	so, what are you planning *-1 to go into *t*-2?	0.10526315789473684	0.11157894736842106	0.6931578947368421	0.09	what	0
151	38516:4	what would you recommend *t*-1?	0.2580952380952381	0.4314285714285714	0.2252380952380952	0.08523809523809524	what	1
591	119557:20	and, and what does it cost these people over there *t*-1, you know.	0.30809523809523814	0.11761904761904761	0.309047619047619	0.2652380952380952	what	0
902	11550:4	where did you cry *t*-1.	0.18666666666666668	0.023333333333333334	0.7652380952380953	0.024761904761904763	where	0
635	130654:14	uh, see, what do we recycle *t*-1?	0.6373684210526317	0.22894736842105262	0.028421052631578944	0.10526315789473684	what	0
249	140327:14	what what do you like *-1 to do *t*-2 for yourself in car automobile repairs?	0.348421052631579	0.2694736842105263	0.18947368421052632	0.19263157894736843	what	0
619	91886:4	where have you all been *t*-1 on vacation recently?	0.3678947368421053	0.21894736842105264	0.30210526315789477	0.11105263157894736	where	0
642	65012:4	what college are you teaching at *t*-1?	0.008947368421052636	0.01789473684210527	0.9626315789473684	0.01	what	0
446	18264:21	wh-, d-, what do you plan, have *t*-1 planned *-2 for your yard?	0.42700000000000005	0.181	0.39199999999999996	0.0	what	0
278	43310:4	what have you seen *t*-1?	0.33333333333333337	0.26857142857142857	0.29619047619047617	0.1014285714285714	what	0
874	13191:16	when, when would people do it *t*-1,	0.06095238095238095	0.6147619047619047	0.16333333333333333	0.16095238095238096	when	1
897	11493:7	oh how does he do serious *t*-1.	0.037142857142857144	0.22666666666666674	0.5442857142857144	0.19142857142857142	how	0
685	11565:5	what else did it.	0.40166666666666667	0.21055555555555555	0.2661111111111111	0.12166666666666666	what	0
729	130374:4	what's your favorite color *t*-1?	0.017499999999999998	0.11850000000000001	0.6565	0.20750000000000002	what	0
774	146142:6	or how did you make a quilt *t*-1?	0.08052631578947368	0.04631578947368423	0.7526315789473684	0.12052631578947369	how	0
116	150555:4	how's the weather out there in georgia *t*-1?	0.056315789473684215	0.034736842105263156	0.3005263157894737	0.608421052631579	how	0
169	142841:4	where do you think 0 they're headed *t*-1,	0.0680952380952381	0.1761904761904762	0.4019047619047619	0.3538095238095238	where	0
933	136162:16	what, what ones do you get into *t*-1?	0.6757894736842105	0.15105263157894738	0.07631578947368421	0.0968421052631579	what	0
236	119753:32	but, uh, how do you, how do you, uh, stay aware of most of the current events *t*-1.	0.17105263157894737	0.4247368421052632	0.3668421052631579	0.03736842105263158	how	0
916	76479:9	now, what do you mostly do *t*-1?	0.31894736842105265	0.19210526315789472	0.4636842105263157	0.02526315789473684	what	0
843	126779:4	how do you dress *t*-1?	0.1368181818181818	0.19318181818181818	0.5245454545454545	0.14545454545454542	how	0
215	75556:16	what, what deterrent does he really have *t*-1?	0.15157894736842104	0.42947368421052634	0.2752631578947369	0.14368421052631578	what	0
726	87594:4	what do you think *t*-1?	0.194	0.09949999999999999	0.36550000000000005	0.341	what	0
788	71896:16	what, what changes do you think 0 *t*-1 have taken *-2 place in the last generation?	0.5876190476190476	0.3185714285714286	0.06190476190476191	0.031904761904761915	what	0
757	6180:9	well, what d-, do you think *t*-1 in terms of, uh, benefits?	0.36052631578947364	0.11368421052631579	0.16157894736842104	0.3636842105263158	what	0
136	26133:4	what is that thing 0 i saw *t*-1 *t*-2,	0.007727272727272728	0.045454545454545456	0.9463636363636362	0.0	what	0
402	13819:16	what, what do you envision *t*-1 for the next twenty years as far as women in american society?	0.47904761904761906	0.2671428571428572	0.13285714285714287	0.12095238095238095	what	0
565	146252:9	so, what are your favorite shows *t*-1?	0.6242105263157894	0.1763157894736842	0.06526315789473684	0.13421052631578947	what	0
268	70085:4	what area do you live in *t*-1?	0.00736842105263158	0.07210526315789474	0.7963157894736842	0.1242105263157895	what	0
447	137688:4	who is the competition going *-1 to be *t*-2?	0.29700000000000004	0.148	0.44299999999999995	0.11200000000000002	who	0
914	72234:4	what was the last book 0 you read *t*-1 *t*-2?	-1.1686558153948999e-17	0.015789473684210537	0.9605263157894737	0.02368421052631579	what	0
717	138662:4	what would we like *-2 to say *t*-1.	0.21142857142857144	0.260952380952381	0.29619047619047617	0.2314285714285714	what	1
851	163244:4	who *t*-1's paying for that?	0.06999999999999999	0.09238095238095238	0.7866666666666668	0.05095238095238098	who	0
568	148200:16	what, what magazines do you have *t*-1 at home?	0.5700000000000001	0.16157894736842104	0.1910526315789474	0.07736842105263157	what	0
879	77454:4	who would they ask *t*-1?	0.19523809523809518	0.310952380952381	0.4909523809523809	0.002857142857142862	who	1
901	124922:16	what, what can you.	0.08285714285714287	0.32285714285714284	0.08476190476190477	0.5095238095238095	what	1
585	152968:4	how do you keep up with current events *t*-1?	0.45952380952380956	0.18666666666666668	0.33238095238095233	0.02142857142857143	how	0
141	31235:14	you know, what has, you know, has, has the educational system been watered *-3 down to *t*-1 that anybody who *t*-2's above average is now gifted?	0.085	0.16363636363636364	0.2159090909090909	0.5354545454545455	what	0
369	23105:4	how are we doing in recycling *t*-1?	0.21999999999999997	0.03052631578947369	0.2563157894736842	0.4931578947368422	how	0
855	6644:24	well, if they went awol, what are you going *-1 to do *t*-2.	0.09047619047619047	0.3480952380952381	0.32047619047619047	0.24095238095238097	what	0
472	165282:4	why don't they just say, almost a mac for half the price *t*-1.	0.06842105263157895	0.23842105263157892	0.448421052631579	0.24473684210526317	why	0
405	123667:4	what, uh, school are you going to *t*-1?	0.009047619047619053	0.06761904761904762	0.8119047619047619	0.11095238095238096	what	0
743	59437:6	so why hav-,	0.089	0.1285	0.4734999999999999	0.309	why	0
945	122760:31	wh-, i-, what would we do *t*-1 without it?.	0.11421052631578947	0.12999999999999998	0.15210526315789472	0.6036842105263158	what	1
26	103191:13	but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,	0.13999999999999999	0.05888888888888889	0.08277777777777778	0.7183333333333333	who	1
246	171763:51	and, it's like, okay, what *ich*-1 do we have *t*-3 left, what do we have *-2 to pay *t*-4, what have we paid *t*-5 this month. what *t*-6 hasn't come in yet, you know.	0.5189473684210526	0.07263157894736842	0.06894736842105263	0.33947368421052626	what	0
133	161881:11	so, what do you do *t*-1 for a job?	0.017727272727272727	0.030909090909090907	0.8604545454545455	0.09090909090909091	what	0
908	101752:4	what's that mean *t*-1?.	0.10368421052631578	0.15473684210526314	0.49105263157894735	0.25052631578947365	what	0
148	14025:4	how do you usually keep up with current events *t*-1?	0.20454545454545456	0.26227272727272727	0.48772727272727273	0.045454545454545456	how	0
957	150504:4	what do you do *t*-1 there?	0.2652631578947368	0.09947368421052633	0.53	0.10526315789473684	what	0
766	132650:4	what are we having *t*-1?	0.4794736842105264	0.17052631578947366	0.28421052631578947	0.06578947368421052	what	0
734	60729:14	um, well, what do you think 0 *t*-1 is, uh, the pollutants, the main pollutants in the air?	0.46499999999999997	0.06799999999999998	0.40549999999999997	0.0615	what	0
342	102292:4	what have you seen *t*-1 lately?	0.266	0.6080000000000001	0.05800000000000001	0.06799999999999999	what	0
544	44161:16	why, why should we be the ones that *t*-1 have *-2 to do it *t*-3 and things like that	0.31157894736842107	0.2236842105263158	0.28578947368421054	0.17842105263157892	why	1
294	6904:4	what am i afraid of *t*-1?	0.200952380952381	0.2561904761904762	0.46619047619047616	0.07666666666666667	what	0
697	126699:9	well, what movies are you looking forward to *-1 seeing *t*-2 now?	0.4747619047619048	0.31380952380952387	0.1466666666666667	0.0642857142857143	what	0
153	141568:12	oh, well what do you do *t*-1 with your seventh grader?	0.46238095238095234	0.38904761904761903	0.07476190476190478	0.07380952380952382	what	0
310	109103:16	what, what grade do you teach *t*-1?	0.0885	0.099	0.7625	0.05	what	0
626	160168:9	uh, what do you feel *t*-1 about come of the things that *t*-2 need *-3 to,	0.06105263157894738	0.12947368421052632	0.1457894736842105	0.6636842105263158	what	0
498	142849:4	what are your thinkings on what they can do *t*-1, what they'll be able *-2 to do *t*-3 *t*-4?	0.4233333333333334	0.1711111111111111	0.15888888888888889	0.24666666666666665	what	1
218	104736:4	what did you think *t*-1 about that idea?	0.21631578947368424	0.2157894736842105	0.308421052631579	0.2594736842105263	what	0
30	43281:4	what should i do *t*-1?	0.27894736842105267	0.3842105263157895	0.19631578947368422	0.1405263157894737	what	1
93	66234:15	oh, well, what *ich*-2's there *t*-3 0 * to say *t*-1?	0.19736842105263158	0.31947368421052635	0.16947368421052633	0.3136842105263158	what	0
335	54662:4	who's your favorite actress or actor *t*-1?	0.001	0.08149999999999999	0.9175000000000001	0.0	who	0
649	77725:4	what did you think *t*-1 about the coverage like over in the, uh, persian gulf?	0.15842105263157893	0.15736842105263157	0.30421052631578943	0.38	what	0
939	167116:4	what do you think *t*-1?	0.19578947368421057	0.14157894736842108	0.3273684210526316	0.3352631578947369	what	0
443	38489:4	what do you like *-1 to read *t*-2?	0.271	0.5615	0.1405	0.027000000000000003	what	0
822	37944:56	still you got *-1 to be their best friend because when they've got problems *t*-2, who they going *-3 to go to *t*-4,	0.025909090909090913	0.085	0.6213636363636365	0.26772727272727276	who	0
33	164882:4	how do you think that, uh, the viewpoints differ *t*-1?	0.46473684210526317	0.4073684210526316	0.10842105263157895	0.019473684210526317	how	0
549	132595:16	wha-, what do you think *t*-1 of that new luxury car tax, anything over ten thou-, or thirty thousand dollars?	0.21842105263157893	0.1236842105263158	0.31263157894736837	0.3452631578947368	what	0
321	146911:7	so how do you dress *t*-1?	0.0505	0.3845	0.5499999999999999	0.014500000000000002	how	0
687	96038:9	oh, where do you stay *t*-1?	0.1322222222222222	0.09944444444444445	0.7683333333333333	0.0	where	0
254	41891:35	how do yo-, wh-, what do you think *t*-1 about it.	0.4052631578947368	0.08736842105263158	0.28	0.22684210526315787	what	0
